009,127.800,204.700,71.050,174.200,132.800,123.700,140.300,175.700,146.550,153.700
010,133.800,192.200,77.800,167.450,134.300,114.700,147.300,161.450,155.800,141.700
011,123.300,201.950,71.300,166.700,132.550,119.450,141.550,165.200,149.050,145.450
016,141.529,199.171,84.100,174.314,136.100,116.886,157.814,163.171,158.957,138.029
017,138.300,212.200,68.050,176.200,131.050,120.700,144.800,175.450,154.300,155.200
021,115.800,219.700,62.800,174.950,127.550,131.200,130.800,180.700,144.800,162.200
022,141.550,196.950,78.550,174.450,136.300,122.200,150.300,167.450,155.550,150.200
026,148.800,210.950,80.550,174.450,136.800,126.700,152.300,174.200,155.300,153.700
030,125.529,216.600,70.671,179.743,124.957,125.457,142.671,180.600,143.814,157.457
033,138.550,213.950,68.300,183.200,130.800,132.950,138.550,179.450,149.800,165.450
038,119.550,203.450,65.050,174.200,128.050,129.950,133.050,176.200,143.800,159.700
039,138.300,198.950,78.050,179.450,133.800,124.700,147.050,169.950,150.300,150.700
044,124.550,198.200,69.050,167.700,126.800,120.700,141.550,170.200,147.050,149.700
047,128.300,204.950,62.550,174.950,126.550,126.200,141.050,174.200,144.300,151.700
062,131.050,203.200,73.050,169.700,131.800,121.950,149.300,171.700,153.300,152.700
066,130.800,196.700,71.550,168.450,132.550,113.450,146.800,157.950,149.300,140.700
068,151.800,214.200,84.300,183.450,139.800,122.200,160.550,174.950,165.050,152.200
073,131.550,203.200,72.300,180.950,133.050,128.200,141.300,173.200,148.800,157.200
079,146.957,218.029,77.529,194.886,133.243,130.029,150.671,181.171,150.671,161.457
081,127.300,211.950,75.550,177.200,131.800,124.450,143.550,175.700,152.300,152.700
084,119.300,201.700,60.550,170.200,129.300,118.950,138.550,173.200,147.300,151.200
086,148.300,204.450,82.050,175.950,129.800,115.450,154.050,166.700,158.050,144.950
087,132.550,208.950,66.050,175.700,134.300,120.200,145.050,176.450,153.800,155.450
089,148.300,203.450,79.550,181.950,127.800,119.200,141.050,169.700,146.800,150.450
092,141.050,201.450,75.800,172.450,129.800,103.450,152.300,157.200,151.050,134.450
094,141.800,205.450,67.800,172.450,126.800,111.950,141.800,166.950,146.800,145.450
097,143.800,203.700,74.300,184.700,137.050,116.450,159.800,171.200,164.300,148.450
099,138.050,193.700,81.050,163.950,126.550,112.700,139.050,161.450,145.415,139.268
102,130.300,208.450,68.300,185.200,131.300,125.950,150.550,176.950,155.550,156.450
104,138.300,210.200,79.300,183.200,140.800,119.950,154.550,172.950,160.550,151.950
106,148.800,208.450,80.050,179.200,141.550,114.950,150.300,167.700,156.300,150.200
112,137.300,202.700,78.800,166.700,134.550,118.700,152.800,167.950,154.050,147.450
115,134.300,204.200,71.300,176.950,128.800,122.700,143.800,171.700,148.300,150.450
130,150.300,204.450,79.300,173.950,133.550,116.950,149.300,168.450,155.800,148.450
132,132.300,199.450,68.300,166.450,130.800,125.700,145.800,169.450,147.300,149.950
133,126.800,180.950,74.550,151.950,125.550,100.700,145.550,149.450,149.300,126.950
137,149.300,212.200,81.050,189.450,139.300,120.950,164.550,173.450,165.300,150.200
138,127.050,204.200,72.800,171.450,124.300,118.950,128.800,171.450,136.800,150.700
148,118.050,203.200,65.050,173.200,125.050,117.950,134.800,173.450,142.550,150.700
150,116.300,185.950,58.300,142.950,125.050,110.450,137.550,159.200,144.050,139.950
154,115.800,208.700,62.550,170.700,132.800,127.950,140.300,180.450,148.300,160.450
156,125.300,211.950,65.050,178.450,134.800,125.700,135.050,177.450,148.050,158.200
157,129.300,198.700,69.050,167.200,123.300,118.450,132.050,164.700,137.550,147.950
176,149.050,197.700,85.050,169.950,126.800,122.450,143.550,165.200,147.050,147.200
191,126.300,198.700,72.550,169.200,121.800,127.950,130.300,170.200,136.800,153.450
198,135.050,194.450,73.800,169.950,130.550,115.950,147.550,166.200,149.853,146.544
200,124.050,196.200,74.300,168.950,130.550,116.200,139.050,165.450,145.050,145.450
205,151.300,223.450,70.050,183.950,131.550,137.450,145.550,186.200,152.050,164.200
207,124.300,186.950,69.550,170.950,122.300,121.200,138.550,160.700,141.800,142.950
209,131.243,212.314,72.386,187.457,130.957,130.314,142.671,178.600,148.386,158.600
213,121.243,207.457,69.243,175.171,125.814,121.743,140.671,174.600,142.386,153.457
217,126.050,191.450,70.300,165.450,126.550,119.450,141.800,163.700,143.800,145.200
218,132.957,194.314,74.957,175.171,127.814,115.743,144.671,164.314,148.100,143.743
219,138.050,191.950,73.800,164.700,131.050,110.450,149.300,157.700,152.050,133.450
222,135.300,206.200,70.550,175.700,128.550,132.950,137.550,179.450,141.550,161.200
227,144.800,214.950,78.800,181.700,133.550,120.700,150.050,176.200,154.800,152.700
230,135.050,202.700,76.300,175.200,129.050,120.950,148.300,170.450,151.300,147.700
235,148.300,207.950,73.550,175.450,132.800,116.200,147.300,169.700,154.800,150.700
237,117.550,204.950,66.300,166.700,126.550,130.450,141.550,176.450,145.300,156.700
238,130.550,213.950,70.300,179.950,133.050,120.200,147.300,175.700,152.050,154.450
241,136.386,198.600,75.243,172.600,128.386,110.029,151.243,158.600,154.386,135.457
245,144.050,227.450,74.550,187.950,135.300,134.450,141.550,190.450,155.300,168.950
246,133.050,178.200,74.550,157.950,129.800,108.700,144.550,151.950,149.300,132.950
